"","","","","","","","","","","","","","","","","","",""
"山东省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:13:32",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"10","0380","中国红","0","156","44","4,706,400","0","0","0","0","0","0","40","24,000","0","156","4","4,682,400"
"10","0386","卧虎藏龙","0","212","27","6,376,200","0","0","0","0","0","0","19","11,400","0","212","8","6,364,800"
"10","0389","长征","0","166","30","3,326,000","0","0","0","0","0","0","0","0","0","166","30","3,326,000"
"10","0401","芝麻开门","0","386","10","11,586,000","0","0","0","0","0","0","16","9,600","0","385","44","11,576,400"
"10","0403","10来运转","0","686","27","20,596,200","0","0","0","0","0","0","34","20,400","0","685","43","20,575,800"
"10","0404","有礼了","0","257","43","7,735,800","0","0","0","0","0","0","32","19,200","0","257","11","7,716,600"
"10","0406","金鸡纳福","0","264","28","7,936,800","0","0","0","0","0","0","3","1,800","0","264","25","7,935,000"
"10","0418","招财猫","0","366","40","11,004,000","0","0","0","0","0","0","26","15,600","0","366","14","10,988,400"
"10","0427","天作之合","0","202","31","6,078,600","0","0","0","0","0","0","4","2,400","0","202","27","6,076,200"
"10","0428","中奖达人","0","890","4","26,702,400","0","0","0","0","0","0","11","6,600","0","889","43","26,695,800"
"10","0432","强力5","0","545","31","16,368,600","0","0","0","0","0","0","14","8,400","0","545","17","16,360,200"
"10","0440","天作之合","0","186","41","5,604,600","0","0","0","0","0","0","6","3,600","0","186","35","5,601,000"
"10","0441","和气生财","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0442","天下名钻","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0443","挖金矿","0","183","12","5,497,200","0","0","0","0","0","0","12","7,200","0","183","0","5,490,000"
"10","0449","十二星座","0","692","44","20,786,400","0","0","0","0","0","0","34","20,400","0","692","10","20,766,000"
"10","0454","旺旺","0","33","27","1,006,200","0","0","0","0","0","0","21","12,600","0","33","6","993,600"
"10","0460","新时代 动起来","0","540","74","16,222,200","0","0","0","0","0","0","7","2,100","0","540","67","16,220,100"
"10","0463","体彩顶呱刮十周年庆","0","214","44","6,446,400","0","0","0","0","0","0","41","24,600","0","214","3","6,421,800"
"10","0465","十倍幸运","0","195","11","5,856,600","0","0","0","0","0","0","158","94,800","0","192","3","5,761,800"
"10","0471","全民健身日","0","0","24","7,200","0","0","0","0","0","0","0","0","0","0","24","7,200"
"10","0472","绿翡翠 9","0","161","27","4,846,200","0","0","0","0","0","0","97","58,200","0","159","30","4,788,000"
"10","0473","数字密码","0","409","33","12,289,800","0","0","0","0","0","0","15","9,000","0","409","18","12,280,800"
"10","0478","爱跑","0","0","23","6,900","0","0","0","0","0","0","0","0","0","0","23","6,900"
"面值合计","","","0","9,840","1,318","285,129,500","0","0","0","0","0","0","739","429,700","0","9,829","1,179","284,699,800"
"20","0101","金银生辉","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"20","0110","闪耀宝石9","0","0","8","4,800","0","0","0","0","0","0","0","0","0","0","8","4,800"
"20","0147","点石成金","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0215","黑旋风","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0237","大乐透","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0242","甜蜜蜜","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0247","NBA","0","556","32","16,699,200","0","0","0","0","0","0","0","0","0","556","32","16,699,200"
"20","0270","真金白银","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0283","欢乐扑克","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
