"销售网点分玩法销售统计","","","","","","","","","","","","",""
"JX201","","","","","","","","","","","","",""
"日期范围：","2018-11-13~2018-11-13","","","","","","","","打印时间：","","","2018-11-14 06:12:33",""
"","","","","","","","","","","","","",""
"市编码","市名称","县编码","县名称","网点编码","网点名称","游戏编码","游戏名称","激活包数","激活金额","确认包数","确认金额","兑奖张数","兑奖金额"
"3701","济南市","370102","历下区","3701001537","3701001537","0473","数字密码","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001537","3701001537","0481","节气歌","0","0","0","0","74","2,170"
"3701","济南市","370102","历下区","3701001541","3701001541","0481","节气歌","1","600","0","0","13","280"
"3701","济南市","370102","历下区","3701001553","3701101553","0423","太空寻宝","0","0","0","0","13","38"
"3701","济南市","370102","历下区","3701001553","3701101553","0431","粉橙蓝","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001553","3701101553","0461","糖葫芦","0","0","0","0","2","4"
"3701","济南市","370102","历下区","3701001553","3701101553","0462","体彩顶呱刮十周年庆","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001553","3701101553","0481","节气歌","0","0","0","0","30","1,080"
"3701","济南市","370102","历下区","3701001569","3701001569","0456","红樱桃","0","0","0","0","2","6"
"3701","济南市","370102","历下区","3701001588","3701001588","0134","宝石之王","0","0","0","0","1","100"
"3701","济南市","370102","历下区","3701001589","3701001589","0314","LOVE","0","0","0","0","2","35"
"3701","济南市","370102","历下区","3701001589","3701001589","0397","好运123","0","0","0","0","4","30"
"3701","济南市","370102","历下区","3701001589","3701001589","0423","太空寻宝","0","0","0","0","22","95"
"3701","济南市","370102","历下区","3701001589","3701001589","0451","麻辣6","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001589","3701001589","0456","红樱桃","0","0","0","0","20","94"
"3701","济南市","370102","历下区","3701001589","3701001589","0462","体彩顶呱刮十周年庆","0","0","0","0","2","25"
"3701","济南市","370102","历下区","3701001589","3701001589","0481","节气歌","0","0","0","0","1","30"
"3701","济南市","370102","历下区","3701001606","3701001606","0481","节气歌","0","0","0","0","2","40"
"3701","济南市","370102","历下区","3701001636","3701001636","0267","甜蜜蜜","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001636","3701001636","0287","好彩头","0","0","0","0","1","30"
"3701","济南市","370102","历下区","3701001636","3701001636","0352","挖财宝","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001636","3701001636","0372","我爱中国","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001636","3701001636","0399","中国结","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001636","3701001636","0409","日进斗金","0","0","0","0","2","50"
"3701","济南市","370102","历下区","3701001636","3701001636","0431","粉橙蓝","0","0","0","0","2","15"
"3701","济南市","370102","历下区","3701001662","3701001662","0451","麻辣6","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001662","3701001662","0469","巅峰对决","0","0","0","0","9","440"
"3701","济南市","370102","历下区","3701001662","3701001662","0471","全民健身日","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001662","3701001662","0481","节气歌","0","0","0","0","8","280"
"3701","济南市","370102","历下区","3701001736","3701001736","0267","甜蜜蜜","0","0","0","0","3","20"
"3701","济南市","370102","历下区","3701001736","3701001736","0418","招财猫","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001736","3701001736","0432","强力5","0","0","0","0","8","110"
"3701","济南市","370102","历下区","3701001736","3701001736","0441","和气生财","0","0","0","0","3","40"
"3701","济南市","370102","历下区","3701001736","3701001736","0481","节气歌","0","0","0","0","9","580"
"3701","济南市","370102","历下区","3701001776","3701001776","0267","甜蜜蜜","0","0","0","0","6","35"
"3701","济南市","370102","历下区","3701001776","3701001776","0292","绿翡翠9","0","0","0","0","1","15"
"3701","济南市","370102","历下区","3701001776","3701001776","0351","财运到","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001776","3701001776","0353","神灯","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001776","3701001776","0380","中国红","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001776","3701001776","0385","卧虎藏龙","0","0","0","0","6","75"
"3701","济南市","370102","历下区","3701001776","3701001776","0388","长征","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001776","3701001776","0397","好运123","0","0","0","0","1","5"
