"","","","","","","","","","","","","","","","","","",""
"浙江省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:20:17",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"10","0279","巅峰之战","0","135","43","4,075,800","0","0","0","0","0","0","0","0","0","135","43","4,075,800"
"10","0292","绿翡翠9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0293","狂热中","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0296","吉星高照","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0301","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0304","大漠寻宝","0","169","15","5,079,000","0","0","0","0","0","0","0","0","0","169","15","5,079,000"
"10","0312","十倍幸运","0","0","3","1,800","0","0","0","0","0","0","0","0","0","0","3","1,800"
"10","0313","财富之门","0","123","44","3,716,400","0","0","0","0","0","0","3","1,800","0","123","41","3,714,600"
"10","0317","红玫瑰","0","27","30","828,000","0","0","0","0","0","0","6","3,600","0","27","24","824,400"
"10","0320","砸金蛋","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0326","赤壁","0","51","10","1,536,000","0","0","0","0","0","0","5","3,000","0","51","5","1,533,000"
"10","0328","乐在7中","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0331","甜蜜物语","0","189","77","5,693,100","0","0","0","0","0","0","8","2,400","0","189","69","5,690,700"
"10","0333","9","0","84","16","2,529,600","0","0","0","0","0","0","3","1,800","0","84","13","2,527,800"
"10","0335","滚雪球","0","35","1","1,050,600","0","0","0","0","0","0","7","4,200","0","34","44","1,046,400"
"10","0339","金猴献宝","0","142","1","4,260,600","0","0","0","0","0","0","6","3,600","0","141","45","4,257,000"
"10","0341","抢红包","0","1","48","58,800","0","0","0","0","0","0","6","3,600","0","1","42","55,200"
"10","0351","财运到","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0353","神灯","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0359","豪门盛宴","0","194","33","5,829,900","0","0","0","0","0","0","10","3,000","0","194","23","5,826,900"
"10","0369","加油中国","0","6","35","201,000","0","0","0","0","0","0","2","1,200","0","6","33","199,800"
"10","0373","我爱中国","0","0","5","3,000","0","0","0","0","0","0","0","0","0","0","5","3,000"
"10","0380","中国红","0","182","79","5,507,400","0","0","0","0","0","0","58","34,800","0","181","71","5,472,600"
