"","","","","","","","","","","","","","","","","","",""
"山东省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-04-21~2018-04-21","","","","","","","","","","","","","打印时间：","","2018-04-21 12:58:29",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"10","0341","抢红包","0","197","49","5,939,400","0","0","0","0","0","0","0","0","0","197","49","5,939,400"
"10","0351","财运到","0","55","13","1,657,800","0","0","0","0","0","0","0","0","0","54","63","1,657,800"
"10","0353","神灯","0","73","9","2,195,400","0","0","0","0","0","0","0","0","0","73","9","2,195,400"
"10","0355","一路平安","0","942","22","18,844,400","0","0","0","0","0","0","0","0","0","942","22","18,844,400"
"10","0359","豪门盛宴","0","9","91","297,300","0","0","0","0","0","0","0","0","0","9","91","297,300"
"10","0366","7乐无穷","0","0","10","6,000","0","0","0","0","0","0","0","0","0","0","10","6,000"
"10","0369","加油中国","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0373","我爱中国","0","140","18","4,210,800","0","0","0","0","0","0","0","0","0","140","18","4,210,800"
"10","0375","黄金之城","0","151","12","4,537,200","0","0","0","0","0","0","0","0","0","150","62","4,537,200"
"10","0380","中国红","0","189","13","5,677,800","0","0","0","0","0","0","0","0","0","188","63","5,677,800"
"10","0386","卧虎藏龙","0","265","47","7,978,200","0","0","0","0","0","0","0","0","0","265","47","7,978,200"
"10","0389","长征","0","185","88","3,717,600","0","0","0","0","0","0","0","0","0","185","88","3,717,600"
"10","0401","芝麻开门","0","456","13","13,687,800","0","0","0","0","0","0","0","0","0","456","13","13,687,800"
"10","0403","10来运转","0","790","13","23,707,800","0","0","0","0","0","0","0","0","0","790","13","23,707,800"
"10","0404","有礼了","0","331","36","9,951,600","0","0","0","0","0","0","0","0","0","331","36","9,951,600"
"10","0406","金鸡纳福","0","288","15","8,649,000","0","0","0","0","0","0","0","0","0","288","15","8,649,000"
"10","0427","天作之合","0","226","38","6,802,800","0","0","0","0","0","0","0","0","0","226","38","6,802,800"
"10","0428","中奖达人","0","936","25","28,095,000","0","0","0","0","0","0","0","0","0","936","25","28,095,000"
"10","0432","强力5","0","628","40","18,864,000","0","0","0","0","0","0","0","0","0","628","40","18,864,000"
"10","0440","天作之合","0","206","23","6,193,800","0","0","0","0","0","0","0","0","0","206","23","6,193,800"
"10","0441","和气生财","0","47","47","1,438,200","0","0","0","0","0","0","0","0","0","47","47","1,438,200"
"10","0442","天下名钻","0","45","24","1,364,400","0","0","0","0","0","0","0","0","0","45","24","1,364,400"
"10","0443","挖金矿","0","210","34","6,320,400","0","0","0","0","0","0","0","0","0","210","34","6,320,400"
"10","0454","旺旺","0","162","72","4,903,200","0","0","0","0","0","0","0","0","0","162","72","4,903,200"
"10","0460","新时代 动起来","0","678","119","20,375,700","0","0","0","0","0","0","0","0","0","675","419","20,375,700"
"10","0463","体彩顶呱刮十周年庆","0","406","47","12,208,200","0","0","0","0","0","0","0","0","0","406","47","12,208,200"
"面值合计","","","0","10,090","1,642","292,285,100","0","0","0","0","0","0","0","0","0","10,081","2,242","292,285,100"
"20","0101","金银生辉","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"20","0110","闪耀宝石9","0","0","8","4,800","0","0","0","0","0","0","0","0","0","0","8","4,800"
"20","0147","点石成金","0","0","16","9,600","0","0","0","0","0","0","0","0","0","0","16","9,600"
